t,h,lon,lat,v,gam,azm,alpha,beta,q
779.086162,213829.8841,49.95693515,4.866312952,21353.50324,-0.1561285252,76.72241257,24.89377591,-49.22248822,69.96361524
787.7565257,213322.2671,50.44654753,4.982436421,21275.6998,-0.1584773966,76.49645186,24.91771091,-49.02181509,69.90077197
793.4727886,212985.0961,50.76815895,5.059818685,21223.71676,-0.1595696338,76.34553968,24.92426345,-48.88898122,69.86413178
794.9112114,212900.0287,50.84893858,5.079394243,21210.56145,-0.1598085001,76.30735207,24.91923381,-48.8509093,69.86123611
794.9112114,212900.0287,50.84893858,5.079394243,21210.56145,-0.1598085001,76.30735207,24.91923381,-48.8509093,69.86123611
798.4715134,212689.1756,51.04861937,5.128025316,21177.91306,-0.1604166326,76.21256958,24.88507276,-48.76520548,69.87587523
805.9147961,212246.2022,51.46487637,5.230516447,21109.45339,-0.1622755884,76.01358473,24.77640325,-48.61332147,69.94483567
815.2184898,211685.7575,51.98287644,5.360182886,21023.38614,-0.1654521518,75.76299864,24.70634097,-48.40170832,69.96423005
823.8888535,211156.1151,52.46329178,5.482580231,20942.1323,-0.1679925364,75.52629625,24.71451419,-48.20438188,69.90245036
829.6051164,210804.3008,52.77877987,5.564099753,20887.87946,-0.1691790318,75.3682085,24.71083525,-48.07572227,69.86628532
831.0435392,210715.5371,52.85801114,5.584716474,20874.15386,-0.1694394141,75.32820409,24.70349249,-48.03864172,69.86324194
831.0435392,210715.5371,52.85801114,5.584716474,20874.15386,-0.1694394141,75.32820409,24.70349249,-48.03864172,69.86324194
834.6038412,210495.522,53.05384655,5.635924648,20840.09649,-0.1701007452,75.228911,24.66378029,-47.95367421,69.87737836
842.0471239,210033.3026,53.46200469,5.743803562,20768.71284,-0.1721013645,75.02046924,24.54348065,-47.79956937,69.94554961
851.3508176,209448.5461,53.96976893,5.880203361,20679.02797,-0.1754928851,74.75799294,24.45845169,-47.59008916,69.96454558
860.0211813,208896.0078,54.44053271,6.008873411,20594.4196,-0.1781984964,74.51003814,24.45148954,-47.40127614,69.90338855
865.7374442,208529.0372,54.74959808,6.09452673,20537.96117,-0.1794640136,74.34441531,24.43789325,-47.27785983,69.86741759
