t,h,lon,lat,v,gam,azm,alpha,beta,q
495.3822164,202652.3696,32.14178928,3.441593512,22469.79275,-0.5273180676,77.16716712,17.49375767,-59.84961121,116.0339443
504.5770383,200768.3631,32.6884486,3.56734758,22393.68503,-0.5173733824,76.87202159,17.49132812,-59.49650813,119.4724347
516.0700597,198508.9921,33.36823015,3.728033892,22290.30691,-0.4876319229,76.47069683,17.49043216,-59.07797742,123.5147632
526.780717,196569.4736,33.99789281,3.881538209,22185.62986,-0.4427426602,76.06402573,17.48089354,-58.71897614,126.8251236
533.8421202,195411.3728,34.41082959,3.984841593,22112.40654,-0.4046664148,75.7795296,17.47191998,-58.48110978,128.6549351
535.6190299,195137.5826,34.51445224,4.011108072,22093.47841,-0.3940888886,75.70600097,17.47160111,-58.42197,129.0579959
535.6190299,195137.5826,34.51445224,4.011108072,22093.47841,-0.3940888886,75.70600097,17.47160111,-58.42197,129.0579959
540.0171355,194493.1846,34.77042075,4.076600476,22045.79292,-0.3662937347,75.52078311,17.46867503,-58.28643453,129.9582649
549.2119575,193311.5405,35.30312448,4.215768142,21942.64057,-0.3019234447,75.12026872,17.45282274,-58.02646313,131.3537712
560.7049789,192179.4581,35.9641421,4.394094823,21808.30337,-0.2126882573,74.59929998,17.43950432,-57.68402328,132.031237
571.4156362,191492.2782,36.57512162,4.564725127,21679.38282,-0.1250431894,74.10057984,17.42987789,-57.35579539,131.5553276
578.4770394,191235.7828,36.97520276,4.6795642,21593.39205,-0.06754077564,73.76885357,17.42049742,-57.15657243,130.6818196
580.2539491,191195.3217,37.07553297,4.708753032,21571.71536,-0.05335349426,73.68535887,17.41820304,-57.10988324,130.3950928
580.2539491,191195.3217,37.07553297,4.708753032,21571.71536,-0.05335349426,73.68535887,17.41820304,-57.10988324,130.3950928
584.6520547,191135.6528,37.32326617,4.781498415,21518.09221,-0.01897797165,73.47907331,17.41073871,-56.97737087,129.5804076
593.8468766,191188.189,37.83843464,4.935842504,21406.62629,0.04836225038,73.05174041,17.39808781,-56.68313956,127.4159568
605.339898,191554.76,38.47717809,5.132929474,21269.71531,0.1204074571,72.52984159,17.39785212,-56.36081664,123.9727465
616.0505554,192139.4712,39.06735757,5.320563157,21145.85994,0.1718606019,72.06124637,17.38862665,-55.98981592,120.3010172
623.1119585,192620.0099,39.45385156,5.446242764,21066.7387,0.196333761,71.76422987,17.37813423,-55.72497195,117.7497811
624.8888683,192749.8572,39.55078997,5.47810485,21047.17135,0.2012292075,71.69106277,17.37783761,-55.67407233,117.0950425
624.8888683,192749.8572,39.55078997,5.47810485,21047.17135,0.2012292075,71.69106277,17.37783761,-55.67407233,117.0950425
629.2869739,193082.9766,39.79018646,5.557365263,20999.33349,0.2110989213,71.51264899,17.37675026,-55.53452015,115.4709981
638.4817958,193814.0853,40.28824752,5.724831522,20902.15843,0.2215205157,71.15260703,17.3688449,-55.17833114,112.1175172
649.9748172,194734.8647,40.90635139,5.937308437,20786.03006,0.2154863921,70.72678213,17.36950093,-54.75991132,108.1034938
660.6854745,195530.0966,41.47814629,6.138245174,20682.72441,0.1921669689,70.35206665,17.37941574,-54.32656597,104.6820104
667.7468777,195990.4321,41.852987,6.272161506,20616.94434,0.16858744,70.11560462,17.38331669,-54.00889951,102.6591377
669.5237874,196096.0171,41.94705099,6.306032286,20600.6591,0.1617064413,70.05731634,17.38336217,-53.93614737,102.1834079
669.5237874,196096.0171,41.94705099,6.306032286,20600.6591,0.1617064413,70.05731634,17.38336217,-53.93614737,102.1834079
673.921893,196337.0819,42.17943161,6.390157519,20560.77948,0.143113526,69.91496178,17.38545494,-53.76070606,101.0608178
683.116715,196736.1239,42.66326271,6.56732828,20479.13317,0.09787106829,69.62509338,17.39573874,-53.38397041,98.98405597
694.6097363,197004.5862,43.26433884,6.791142266,20379.66369,0.03156230308,69.2744181,17.40603481,-52.89490429,96.95099629
705.3203937,196996.2522,43.82090797,7.001976705,20288.62968,-0.03674992563,68.95538348,17.41719126,-52.39199609,95.62720194
712.3817968,196846.3406,44.18598271,7.142130111,20228.99031,-0.08345874473,68.74709088,17.42653684,-52.05570717,95.05149886
714.1587066,196790.3017,44.27761688,7.177539972,20213.98797,-0.09528937673,68.69474877,17.42840646,-51.97767727,94.94411413
714.1587066,196790.3017,44.27761688,7.177539972,20213.98797,-0.09528937673,68.69474877,17.42840646,-51.97767727,94.94411413
718.5568122,196619.878,44.50402343,7.265428475,20176.81766,-0.1245784802,68.56510052,17.43274235,-51.78732485,94.74117141
727.7516341,196119.3294,44.97550557,7.450289384,20098.66323,-0.1849222582,68.29249584,17.44264089,-51.38849072,94.5936809
739.2446555,195230.7992,45.56127406,7.683482986,19999.28519,-0.2558563281,67.94530371,17.45455826,-50.8858481,94.90235362
749.9553129,194165.5373,46.10352381,7.902952635,19903.93656,-0.3137907649,67.61119387,17.46504408,-50.38114159,95.62056999
757.016716,193356.625,46.45903817,8.04880199,19839.12803,-0.3459025003,67.38342087,17.47188085,-50.06205424,96.27990872
758.7936258,193141.6646,46.54824397,8.085650089,19822.53604,-0.3531061111,67.32499313,17.47357606,-49.99354583,96.46495794
758.7936258,193141.6646,46.54824397,8.085650089,19822.53604,-0.3531061111,67.32499313,17.47357606,-49.99354583,96.46495794
763.1917313,192592.319,46.76859179,8.17711217,19780.93596,-0.3693263038,67.17825058,17.47630122,-49.82201538,96.95310068
