t,h,lon,lat,v,gam,azm,alpha,beta,q
512.1107185,227556.3119,34.00237334,1.958648459,23399.81213,-0.1012579865,82.7989655,24.36241394,-55.91381526,69.99952828
523.7454949,227070.7612,34.73399758,2.052385942,23332.12466,-0.1033675568,82.58934144,24.45050035,-55.57920427,69.99866539
531.4161582,226746.1928,35.2150215,2.115505788,23286.68717,-0.1046333954,82.44933359,24.50668839,-55.35872133,69.99818508
533.3463803,226664.0077,35.33589646,2.131555049,23275.15095,-0.1049332193,82.41387625,24.52041902,-55.29983087,69.99817521
533.3463803,226664.0077,35.33589646,2.131555049,23275.15095,-0.1049332193,82.41387625,24.52041902,-55.29983087,69.99817521
538.1239559,226459.7897,35.63478522,2.171567152,23246.41962,-0.105642608,82.32572352,24.5534967,-55.1667352,69.99841615
548.1121101,226029.2977,36.25828349,2.25654769,23185.53594,-0.1070903515,82.13955372,24.61905255,-54.92209126,69.99930672
560.5967531,225484.713,37.03497219,2.365314189,23107.87587,-0.1088449191,81.90327097,24.69514515,-54.59510638,69.99957175
572.2315295,224971.1309,37.75608001,2.469241026,23033.93859,-0.1103934318,81.67950903,24.75957578,-54.29972892,69.99880175
579.9021928,224629.5047,38.23003859,2.539120505,22984.36966,-0.1114217181,81.5300808,24.79776678,-54.10819429,69.99834466
581.8324149,224543.1472,38.34911907,2.556875904,22971.79393,-0.1116794236,81.49224466,24.80675824,-54.05347182,69.99833963
581.8324149,224543.1472,38.34911907,2.556875904,22971.79393,-0.1116794236,81.49224466,24.80675824,-54.05347182,69.99833963
586.6099905,224328.7748,38.64353755,2.601119677,22940.49122,-0.1123073998,81.39819967,24.82783274,-53.92917436,69.99855772
596.5981447,223877.5349,39.25755803,2.694986388,22874.2447,-0.1137096157,81.19968996,24.86740688,-53.70085685,69.99937015
609.0827877,223307.1316,40.02214907,2.814931511,22789.91765,-0.1156173838,80.94798925,24.91044064,-53.38315326,69.99960599
620.7175641,222768.7006,40.73173246,2.929342851,22709.80874,-0.1175057113,80.70987223,24.94476695,-53.10370119,69.99889935
628.3882274,222409.8268,41.19796139,3.006167774,22656.19061,-0.1188758177,80.55095374,24.96415149,-52.92335035,69.99846812
630.3184495,222318.9778,41.31508034,3.025674904,22642.59788,-0.1192304616,80.51072587,24.96860472,-52.86874965,69.99845898
